DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-01,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-02,6.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-03,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-04,6.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-05,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-06,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-07,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-08,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-09,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-10,6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-11,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2021-12,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-01,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-02,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-03,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-04,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-05,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-06,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-07,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-08,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-09,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-10,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-11,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BE,2022-12,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-01,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-02,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-03,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-04,5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,SA,LM-UN-T-TOT,BG,2019-05,4.9,
